model,variation,content,style,lpips,dinov2,psnr,ssim
AA,no_adapter,content1,style1,0.544222,0.571475,15.627738,0.438152
AA,no_adapter,content1,style2,0.482670,0.945481,16.971386,0.526479
AA,no_adapter,content1,style3,0.482717,0.903674,15.949622,0.524064
AA,no_adapter,content1,style4,0.599391,0.581656,16.634108,0.497484
AA,no_adapter,content1,style5,0.515319,0.515342,16.819344,0.504477
AA,no_adapter,content2,style1,0.558042,0.730402,15.962609,0.372089
AA,no_adapter,content2,style2,0.529798,0.946403,16.217478,0.390780
AA,no_adapter,content2,style3,0.573371,0.751216,16.357756,0.386232
AA,no_adapter,content2,style4,0.484055,0.671385,16.630777,0.402858
AA,no_adapter,content2,style5,0.588100,0.903911,15.976731,0.393650
AA,no_adapter,content3,style1,0.249582,1.023463,18.754171,0.618283
AA,no_adapter,content3,style2,0.256033,1.003774,18.560986,0.648199
AA,no_adapter,content3,style3,0.260888,0.943098,18.366377,0.634373
AA,no_adapter,content3,style4,0.239142,1.009550,18.778255,0.649993
AA,no_adapter,content3,style5,0.246091,0.996374,18.522772,0.643617
AA,no_adapter,content4,style1,0.309830,0.846362,16.639250,0.545364
AA,no_adapter,content4,style2,0.289218,0.844187,16.869963,0.550562
AA,no_adapter,content4,style3,0.307687,0.844308,17.097458,0.556742
AA,no_adapter,content4,style4,0.324974,0.695906,16.835836,0.554182
AA,no_adapter,content4,style5,0.307707,0.764083,16.965937,0.551248
AA,no_adapter,content5,style1,0.486918,0.890983,17.969578,0.405004
AA,no_adapter,content5,style2,0.436379,0.949009,18.129086,0.414227
AA,no_adapter,content5,style3,0.442914,0.809833,18.214849,0.429082
AA,no_adapter,content5,style4,0.521847,0.762041,17.851028,0.402006
AA,no_adapter,content5,style5,0.442257,0.672742,18.073652,0.402781
AA,only_ip_adapter,content1,style1,0.583249,0.498498,12.864762,0.386569
AA,only_ip_adapter,content1,style2,0.638776,0.453480,13.372149,0.311442
AA,only_ip_adapter,content1,style3,0.688194,0.585670,13.331635,0.351100
AA,only_ip_adapter,content1,style4,0.604527,0.528590,14.616706,0.325555
AA,only_ip_adapter,content1,style5,0.598448,0.373685,13.539883,0.258755
AA,only_ip_adapter,content2,style1,0.602079,0.455979,13.417238,0.286174
AA,only_ip_adapter,content2,style2,0.582524,0.520414,14.376787,0.291632
AA,only_ip_adapter,content2,style3,0.694151,0.545259,14.210434,0.312143
AA,only_ip_adapter,content2,style4,0.582094,0.331944,15.308277,0.306516
AA,only_ip_adapter,content2,style5,0.611681,0.330002,14.342223,0.266157
AA,only_ip_adapter,content3,style1,0.483773,0.661700,15.028520,0.445492
AA,only_ip_adapter,content3,style2,0.560429,0.885969,14.590312,0.284281
AA,only_ip_adapter,content3,style3,0.653012,0.606970,13.647518,0.256558
AA,only_ip_adapter,content3,style4,0.506339,0.757391,15.937776,0.364081
AA,only_ip_adapter,content3,style5,0.495268,0.813254,15.631846,0.323322
AA,only_ip_adapter,content4,style1,0.475985,0.472590,14.407531,0.407332
AA,only_ip_adapter,content4,style2,0.609133,0.442026,14.310219,0.339345
AA,only_ip_adapter,content4,style3,0.632269,0.515060,13.778257,0.347063
AA,only_ip_adapter,content4,style4,0.454348,0.497543,15.337970,0.434163
